,LINK_ID,HOUR,SPEED
758,4130022100,7,23.0
759,4130022100,8,24.1
760,4130022100,9,26.2
761,4130022100,10,29.1
762,4130022100,11,31.8
763,4130022100,12,30.5
764,4130022100,13,30.444444444444443
765,4130022100,14,28.3
766,4130022100,15,27.7
767,4130022100,16,27.0
768,4130022100,17,29.2
769,4130022100,18,29.4
770,4130022100,19,30.4
771,4130022100,20,29.5
772,4130022100,21,28.7
773,4130022100,22,29.9
774,4130022100,23,30.5
775,4130022200,0,35.0
776,4130022200,1,35.0
777,4130022200,2,35.0
778,4130022200,3,35.6
779,4130022200,4,36.1
780,4130022200,5,35.6
781,4130022200,6,29.7
782,4130022200,7,25.6
783,4130022200,8,26.1
784,4130022200,9,24.6
785,4130022200,10,25.0
786,4130022200,11,28.9
787,4130022200,12,28.3
788,4130022200,13,22.555555555555557
789,4130022200,14,22.1
790,4130022200,15,24.6
791,4130022200,16,23.8
792,4130022200,17,23.1
793,4130022200,18,29.2
794,4130022200,19,33.8
795,4130022200,20,34.5
796,4130022200,21,35.3
797,4130022200,22,34.8
798,4130022200,23,35.2
799,4130022300,0,40.8
800,4130022300,1,40.8
801,4130022300,2,40.8
802,4130022300,3,41.6
803,4130022300,4,42.2
804,4130022300,5,41.6
805,4130022300,6,36.0
806,4130022300,7,33.1
807,4130022300,8,31.9
808,4130022300,9,29.0
809,4130022300,10,30.3
810,4130022300,11,32.0
811,4130022300,12,32.1
812,4130022300,13,31.88888888888889
813,4130022300,14,30.7
814,4130022300,15,32.9
815,4130022300,16,28.5
816,4130022300,17,26.3
817,4130022300,18,28.3
818,4130022300,19,31.0
819,4130022300,20,30.4
820,4130022300,21,32.2
821,4130022300,22,30.8
822,4130022300,23,30.2
823,4130022400,0,40.6
824,4130022400,1,40.6
825,4130022400,2,40.6
826,4130022400,3,40.0
827,4130022400,4,39.5
828,4130022400,5,39.6
829,4130022400,6,27.9
830,4130022400,7,23.6
831,4130022400,8,26.4
832,4130022400,9,31.0
833,4130022400,10,27.7
834,4130022400,11,26.9
835,4130022400,12,27.5
836,4130022400,13,27.22222222222222
837,4130022400,14,24.9
838,4130022400,15,23.6
839,4130022400,16,25.6
840,4130022400,17,29.8
841,4130022400,18,31.0
842,4130022400,19,31.4
843,4130022400,20,30.6
844,4130022400,21,28.9
845,4130022400,22,27.9
846,4130022400,23,28.1
847,4130022500,9,4.0
848,4130022600,19,33.0
849,4130022900,8,15.0
850,4130022900,17,45.0
851,4130023000,12,60.0
852,4130023100,9,4.0
853,4130023100,13,48.5
854,4130023100,17,21.0
855,4130023100,18,23.0
856,4130023100,19,37.0
857,4130023200,7,29.0
858,4130023200,8,8.0
859,4130023200,9,20.0
860,4130023200,10,27.0
861,4130023200,11,34.0
862,4130023200,13,14.0
863,4130023200,15,26.0
864,4130023300,15,10.0
865,4130023500,0,40.9
866,4130023500,1,40.9
867,4130023500,2,40.9
868,4130023500,3,40.4
869,4130023500,4,40.2
870,4130023500,5,39.5
871,4130023500,6,35.5
872,4130023500,7,32.5
873,4130023500,8,31.7
874,4130023500,9,31.6
875,4130023500,10,30.6
876,4130023500,11,28.7
877,4130023500,12,28.1
878,4130023500,13,27.88888888888889
879,4130023500,14,27.5
